"","cname","ccodealp","ht_region","wdi_gdpcapcur","wdi_pop","p_polity2","wdi_oilrent"
"117","Mozambique","MOZ",4,461.415100097656,28649008,5,0.0965055525302887
"118","Oman","OMN",3,15130.5205078125,4665935,-8,21.7903308868408
"119","Namibia","NAM",4,5303.30908203125,2402603,6,0
"120","Nauru","NRU",9,8510.8681640625,12876,NA,0
"121","Nepal","NPL",8,911.444274902344,27627124,6,0
"122","Netherlands","NLD",5,48675.22265625,17131296,10,0.0213321931660175
"123","Vanuatu","VUT",9,3082.35620117188,285510,NA,0
"124","New Zealand","NZL",5,42849.42578125,4793900,10,0.159430056810379
"125","Nicaragua","NIC",2,2159.15795898438,6384855,6,0
"126","Niger","NER",4,517.975036621094,21602472,5,1.36269497871399
"127","Nigeria","NGA",4,1968.56469726562,190873312,7,6.12356281280518
"128","Norway","NOR",5,75496.7578125,5276968,10,3.75642323493958
"129","Micronesia","FSM",9,3289.701171875,111459,NA,0
"130","Marshall Islands","MHL",9,3666.6953125,58058,NA,NA
"131","Palau","PLW",9,16066.1953125,17808,NA,NA
"132","Pakistan (1971-)","PAK",8,1464.99328613281,207896688,7,0.340958148241043
"133","Panama","PAN",2,15150.345703125,4106771,9,0
"134","Papua New Guinea","PNG",9,2695.251953125,8438029,5,2.36235284805298
"135","Paraguay","PRY",2,5680.58056640625,6867062,9,0
"136","Peru","PER",2,6710.5078125,31444296,9,0.203049287199974
"137","Philippines","PHL",7,3123.23413085938,105173264,8,0.0488165356218815
"138","Poland","POL",1,13864.681640625,37974824,10,0.0351671800017357
"139","Portugal","PRT",5,21490.4296875,10300300,10,0
"140","Guinea-Bissau","GNB",4,738.549926757812,1828146,6,0
"141","Timor-Leste","TLS",7,1286.40576171875,1243261,8,26.6524085998535
"142","Qatar","QAT",3,59124.93359375,2724724,-10,14.2415990829468
"143","Romania","ROU",1,10807.794921875,19587290,9,0.318040430545807
"144","Russia","RUS",1,10720.3330078125,144496736,4,6.45558404922485
"145","Rwanda","RWA",4,772.318481445312,11980937,-3,0
"146","St Kitts and Nevis","KNA",10,19158.744140625,52036,NA,0
"147","St Lucia","LCA",10,11047.4453125,180955,NA,0
